"Code","Class","Order","Suborder","Family","Subfamily","Genus","Species","SpeciesEpithet","Clutter","Clutter_Edge","Open"
"YIN010301005","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Pteropodinae","Pteropus","rufus","Pteropus_rufus",NA,NA,NA
"YIN010301006","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Pteropodinae","Pteropus","seychellensis","Pteropus_seychellensis",NA,NA,NA
"YIN010301007","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Pteropodinae","Pteropus","niger","Pteropus_niger",NA,NA,NA
"YIN020001001","Mammalia","Chiroptera","Yinpterochiroptera","Rhinopomatidae",NA,"Rhinopoma","microphyllum","Rhinopoma_microphyllum",0,0,2
"YIN020001002","Mammalia","Chiroptera","Yinpterochiroptera","Rhinopomatidae",NA,"Rhinopoma","cystops","Rhinopoma_cystops",0,0,2
"YIN020001003","Mammalia","Chiroptera","Yinpterochiroptera","Rhinopomatidae",NA,"Rhinopoma","macinnesi","Rhinopoma_macinnesi",NA,NA,NA
"YIN030001001","Mammalia","Chiroptera","Yinpterochiroptera","Megadermatidae",NA,"Lavia","frons","Lavia_frons",NA,NA,NA
"YIN030002001","Mammalia","Chiroptera","Yinpterochiroptera","Megadermatidae",NA,"Cardioderma","cor","Cardioderma_cor",NA,NA,NA
"YIN040001001","Mammalia","Chiroptera","Yinpterochiroptera","Rhinonycteridae",NA,"Triaenops","afer","Triaenops_afer",2,0,2
"YIN040001002","Mammalia","Chiroptera","Yinpterochiroptera","Rhinonycteridae",NA,"Triaenops","menamena","Triaenops_menamena",2,1,1
"YIN040002001","Mammalia","Chiroptera","Yinpterochiroptera","Rhinonycteridae",NA,"Cloeotis","percivali","Cloeotis_percivali",2,0,0
"YIN040003001","Mammalia","Chiroptera","Yinpterochiroptera","Rhinonycteridae",NA,"Paratriaenops","auritus","Paratriaenops_auritus",NA,NA,NA
"YIN040003002","Mammalia","Chiroptera","Yinpterochiroptera","Rhinonycteridae",NA,"Paratriaenops","furculus","Paratriaenops_furcula",2,1,1
"YIN040003003","Mammalia","Chiroptera","Yinpterochiroptera","Rhinonycteridae",NA,"Paratriaenops","pauliani","Paratriaenops_pauliani",NA,NA,NA
