"Code","Class","Order","Suborder","Family","Subfamily","Genus","Species","SpeciesEpithet","Blattodea.ord","Blattodea.Blaberidae","Blattodea.Blattidae","Blattodea.Cryptocercidae","Blattodea.Termitidae","Coleoptera.ord","Coleoptera.Carabidae","Coleoptera.Cerambycidae","Coleoptera.Cetoniidae","Coleoptera.Chrysomelidae","Coleoptera.Curculionidae","Coleoptera.Dytiscidae","Coleoptera.Lagriidae","Coleoptera.Scarabaeidae","Coleoptera.Staphylinidae","Coleoptera.Tenebrionidae","Dermaptera.ord","Diptera.ord","Diptera.Anisopodidae","Diptera.Ceratopogonidae","Diptera.Chironomidae","Diptera.Chloropidae","Diptera.Culicidae","Diptera.Hippoboscidae","Diptera.Muscidae","Diptera..Simuliidae","Diptera.Sphaeroceridae","Diptera.Tipulidae","Ephemeroptera.ord","Hemiptera.ord","Hemiptera.Cercopidae","Hemiptera.Cicadellidae","Hemiptera.Cicadidae","Hemiptera.Fulgoridae","Hemiptera.Margarodidae","Hemiptera.Pentatomidae","Hemiptera.Polyctenidae","Hymenoptera.ord","Hymenoptera.Formicidae","Isoptera.ord","Lepidoptera.ord","Lepidoptera.Castniidae","Lepidoptera.Crambidae","Lepidoptera.Elachistidae","Lepidoptera.Erebidae","Lepidoptera.Euteliidae","Lepidoptera.Geometridae","Lepidoptera.Hesperiidae","Lepidoptera.Hyblaeidae","Lepidoptera.Lasiocampidae","Lepidoptera.Limacodidae","Lepidoptera.Noctuidae","Lepidoptera.Nolidae","Lepidoptera.Notodontidae","Lepidoptera.Pyralidae","Lepidoptera.Saturniidae","Lepidoptera.Sphingidae","Lepidoptera.Tortricidae","Mantodea.ord","Mantodea.Mantidae","Neuroptera.ord","Neuroptera.Ascalaphidae","Neuroptera.Chrysopidae","Neuroptera.Mantispidae","Neuroptera.Myrmeleontidae","Odonata.ord","Orthoptera.ord","Orthoptera.Acrididae","Orthoptera.Gryllacrididae","Orthoptera.Gryllidae","Orthoptera.Tettigoniidae","Orthoptera.Tridactylidae","Psocodea.ord","Siphonaptera.ord","Trichoptera.ord"
"YIN010105001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Megaloglossus","azagnyi","Megaloglossus_azagnyi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010105002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Megaloglossus","woermanni","Megaloglossus_woermanni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010106001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Lissonycteris","angolensis","Lissonycteris_angolensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010107001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Myonycteris","torquata","Myonycteris_torquata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010107002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Myonycteris","brachycephala","Myonycteris_brachycephala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010107003","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Myonycteris","leptodon","Myonycteris_leptodon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010107004","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Myonycteris","relicta","Myonycteris_relicta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010108001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Plerotes","anchietae","Plerotes_anchietae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010109001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Hypsignathus","monstrosus","Hypsignathus_monstrosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010110001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomops","franqueti","Epomops_franqueti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
