"Code","Class","Order","Suborder","Family","Subfamily","Genus","Species","SpeciesEpithet","Ground","Aerial","Vegetation","Aquatic"
"YIN060001003","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","alcyone","Rhinolophus_alcyone",NA,NA,NA,NA
"YIN060001004","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","landeri","Rhinolophus_landeri",0,2,0,0
"YIN060001005","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","guineensis","Rhinolophus_guineensis",NA,NA,NA,NA
"YIN060001006","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","blasii","Rhinolophus_blasii",2,2,2,0
"YIN060001007","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","lobatus","Rhinolophus_lobatus",2,0,0,0
"YIN060001008","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","swinnyi","Rhinolophus_swinnyi",NA,NA,NA,NA
"YIN060001009","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","capensis","Rhinolophus_capensis",2,0,2,0
"YIN060001010","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","gorongosae","Rhinolophus_gorongosae",NA,NA,NA,NA
"YIN060001011","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","rhodesiae","Rhinolophus_rhodesiae",NA,NA,NA,NA
"YIN060001012","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","simulator","Rhinolophus_simulator",NA,NA,NA,NA
"YIN060001013","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","denti","Rhinolophus_denti",NA,NA,NA,NA
"YIN060001014","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","alticolus","Rhinolophus alticolus",NA,NA,NA,NA
"YIN060001015","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","mehelyi","Rhinolophus_mehelyi",2,0,2,0
"YIN060001016","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","euryale","Rhinolophus_euryale",1,NA,1,NA
"YIN060001017","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","hildebrandtii","Rhinolophus_hildebrandtii",0,2,0,0
"YIN060001018","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","mabuensis","Rhinolophus_mabuensis",NA,NA,NA,NA
"YIN060001019","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","cohenae","Rhinolophus_cohenae",NA,NA,NA,NA
"YIN060001020","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","smithersi","Rhinolophus_smithersi",NA,NA,NA,NA
"YIN060001021","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","mossambicus","Rhinolophus_mossambicus",NA,NA,NA,NA
"YIN060001022","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","fumigatus","Rhinolophus_fumigatus",1,NA,1,NA
"YIN060001023","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","eloquens","Rhinolophus_eloquens",NA,NA,NA,NA
"YIN060001024","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","darlingi","Rhinolophus_darlingi",NA,NA,NA,NA
"YIN060001025","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","damarensis","Rhinolophus_damarensis",NA,NA,NA,NA
"YIN060001026","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","deckenii","Rhinolophus_deckenii",NA,NA,NA,NA
"YIN060001027","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","silvestris","Rhinolophus_silvestris",NA,NA,NA,NA
"YIN060001028","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","hillorum","Rhinolophus_hillorum",NA,NA,NA,NA
"YIN060001029","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","sakejiensis","Rhinolophus_sakejiensis",NA,NA,NA,NA
"YIN060001030","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","ferrumequinum","Rhinolophus_ferrumequinum",2,NA,NA,NA
"YIN060001031","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","clivosus","Rhinolophus_clivosus",1,NA,1,NA
"YIN060001032","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","horaceki","Rhinolophus_horaceki",1,NA,1,NA
"YIN060001033","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","maclaudi","Rhinolophus_maclaudi",NA,NA,NA,NA
"YIN060001034","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","ziama","Rhinolophus_ziama",NA,NA,NA,NA
"YIN060001035","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","hilli","Rhinolophus_hilli",NA,NA,NA,NA
"YIN060001036","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","kahuzi","Rhinolophus_kahuzi",NA,NA,NA,NA
"YIN060001037","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","willardi","Rhinolophus_willardi",NA,NA,NA,NA
"YIN060001038","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","ruwenzorii","Rhinolophus_ruwenzorii",NA,NA,NA,NA
"YIN060001039","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","hipposideros","Rhinolophus_hipposideros",1,2,1,0
"YAN010101001","Mammalia","Chiroptera","Yangochiroptera","Emballonuridae","Taphozoninae","Taphozous","nudiventris","Taphozous_nudiventris",0,2,0,0
"YAN010101002","Mammalia","Chiroptera","Yangochiroptera","Emballonuridae","Taphozoninae","Taphozous","perforatus","Taphozous_perforatus",0,2,0,0
