class,order,family,genus,species,taxon_name,subspecies,common_name,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_n_or_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d,dataset
Mammalia,Chiroptera,Craseonycteridae,Craseonycteris,thonglongyai,Craseonycteris thonglongyai,-999,Hog-nosed Bat,NA,1,1,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999315537,NA,NA,NA,NA,NA,NA,3.099,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Craseonycteridae,Craseonycteris,thonglongyai,Craseonycteris thonglongyai,-999,Hog-nosed Bat,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Brunet-Rossinni, A.K. and S.N. Austad, 2004"
Mammalia,Chiroptera,Emballonuridae,Balantiopteryx,infusca,Balantiopteryx infusca,-999,Ecuadorian Sac-winged Bat,NA,NA,NA,9.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Balantiopteryx,infusca,Balantiopteryx infusca,-999,Ecuadorian Sac-winged Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Emballonuridae,Balantiopteryx,io,Balantiopteryx io,-999,Thomas's Sac-winged Bat,NA,1,NA,3.97,NA,NA,NA,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.02,NA,NA,2.502,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Balantiopteryx,io,Balantiopteryx io,-999,Thomas's Sac-winged Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Emballonuridae,Balantiopteryx,plicata,Balantiopteryx plicata,-999,Gray Sac-winged Bat,226.19,0.99,1,6.57,NA,138.81,58.59,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Balantiopteryx,plicata,Balantiopteryx plicata,-999,Gray Sac-winged Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Emballonuridae,Centronycteris,centralis,Centronycteris centralis,-999,Thomas's Shaggy Bat,NA,0.98,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Centronycteris,centralis,Centronycteris centralis,-999,Thomas's Shaggy Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Emballonuridae,Centronycteris,maximiliani,Centronycteris maximiliani,-999,Shaggy Bat,NA,0.98,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Centronycteris,maximiliani,Centronycteris maximiliani,-999,Shaggy Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Emballonuridae,Coleura,afra,Coleura afra,-999,African Sheath-tailed Bat,365,1,1.5,10.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Coleura,afra,Coleura afra,-999,African Sheath-tailed Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Emballonuridae,Coleura,seychellensis,Coleura seychellensis,-999,Seychelles Sheath-tailed Bat,NA,NA,NA,10.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.999,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Cormura,brevirostris,Cormura brevirostris,-999,Chestnut Sac-winged Bat,NA,NA,NA,9.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Cormura,brevirostris,Cormura brevirostris,-999,Chestnut Sac-winged Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Emballonuridae,Cyttarops,alecto,Cyttarops alecto,-999,Short-eared Bat,NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Cyttarops,alecto,Cyttarops alecto,-999,Short-eared Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Emballonuridae,Diclidurus,albus,Diclidurus albus,-999,Northern Ghost Bat,NA,1,1,16.56,NA,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.999,NA,NA,2.377,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Diclidurus,albus,Diclidurus albus,-999,Northern Ghost Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Emballonuridae,Diclidurus,albus,Diclidurus albus,-999,Northern Ghost Bat,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Emballonuridae,Diclidurus,albus,Diclidurus albus,-999,Northern Ghost Bat,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Emballonuridae,Diclidurus,albus,Diclidurus albus,-999,Northern Ghost Bat,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Emballonuridae,Diclidurus,albus,Diclidurus albus,-999,Northern Ghost Bat,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Emballonuridae,Diclidurus,albus,Diclidurus albus,-999,Northern Ghost Bat,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Emballonuridae,Diclidurus,ingens,Diclidurus ingens,-999,Greater Ghost Bat,NA,NA,NA,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Diclidurus,ingens,Diclidurus ingens,-999,Greater Ghost Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Emballonuridae,Diclidurus,isabellus,Diclidurus isabellus,-999,Isabelle's Ghost Bat,NA,NA,NA,12.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Diclidurus,isabellus,Diclidurus isabellus,-999,Isabelle's Ghost Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Emballonuridae,Diclidurus,scutatus,Diclidurus scutatus,-999,Lesser Ghost Bat,NA,NA,NA,13.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Diclidurus,scutatus,Diclidurus scutatus,-999,Lesser Ghost Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Emballonuridae,Emballonura,alecto,Emballonura alecto,-999,Small Asian Sheath-tailed Bat,NA,NA,NA,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Emballonura,atrata,Emballonura atrata,-999,Peters's Sheath-tailed Bat,NA,NA,NA,4.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.75,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Emballonura,atrata,Emballonura atrata,-999,Peters's Sheath-tailed Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Emballonuridae,Emballonura,beccarii,Emballonura beccarii,-999,Beccari's Sheath-tailed Bat,NA,NA,NA,4.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Emballonura,dianae,Emballonura dianae,-999,Large-eared Sheath-tailed Bat,NA,NA,NA,13.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Emballonura,dianae,Emballonura dianae,-999,Large-eared Sheath-tailed Bat,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Emballonuridae,Emballonura,dianae,Emballonura dianae,-999,Large-eared Sheath-tailed Bat,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Emballonuridae,Emballonura,furax,Emballonura furax,-999,New Guinean Sheath-tailed Bat,NA,NA,NA,15.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Emballonura,monticola,Emballonura monticola,-999,Lesser Sheath-tailed Bat,NA,1,NA,5.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Emballonura,monticola,Emballonura monticola,-999,Lesser Sheath-tailed Bat,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Emballonuridae,Emballonura,monticola,Emballonura monticola,-999,Lesser Sheath-tailed Bat,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Emballonuridae,Emballonura,monticola,Emballonura monticola,-999,Lesser Sheath-tailed Bat,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Emballonuridae,Emballonura,monticola,Emballonura monticola,-999,Lesser Sheath-tailed Bat,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Emballonuridae,Emballonura,monticola,Emballonura monticola,-999,Lesser Sheath-tailed Bat,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Emballonuridae,Emballonura,monticola,Emballonura monticola,-999,Lesser Sheath-tailed Bat,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Emballonuridae,Emballonura,monticola,Emballonura monticola,-999,Lesser Sheath-tailed Bat,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Emballonuridae,Emballonura,monticola,Emballonura monticola,-999,Lesser Sheath-tailed Bat,365.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Emballonuridae,Emballonura,monticola,Emballonura monticola,-999,Lesser Sheath-tailed Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Emballonuridae,Emballonura,raffrayana,Emballonura raffrayana,-999,Raffray's Sheath-tailed Bat,NA,NA,NA,5.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Emballonura,semicaudata,Emballonura semicaudata,-999,Polynesian Sheath-tailed Bat,NA,NA,NA,6.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Mosia,nigrescens,Mosia nigrescens,-999,Dark Sheath-tailed Bat,NA,0.98,NA,3.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,kappleri,Peropteryx kappleri,-999,Greater Dog-like Bat,NA,1,2.02,9.85,NA,137.96,79.82,1.09,6.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,kappleri,Peropteryx kappleri,-999,Greater Dog-like Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,kappleri,Peropteryx kappleri,-999,Greater Dog-like Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,kappleri,Peropteryx kappleri,-999,Greater Dog-like Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,kappleri,Peropteryx kappleri,-999,Greater Dog-like Bat,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,kappleri,Peropteryx kappleri,-999,Greater Dog-like Bat,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,kappleri,Peropteryx kappleri,-999,Greater Dog-like Bat,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,leucoptera,Peropteryx leucoptera,-999,White-winged Dog-like Bat,NA,NA,NA,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,leucoptera,Peropteryx leucoptera,-999,White-winged Dog-like Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,macrotis,Peropteryx macrotis,-999,Lesser Dog-like Bat,NA,0.99,NA,5.68,NA,129.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,macrotis,Peropteryx macrotis,-999,Lesser Dog-like Bat,NA,1,NA,474.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,macrotis,Peropteryx macrotis,-999,Lesser Dog-like Bat,NA,NA,NA,456.3,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"de Magalhaes and Costa, 2009"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,macrotis,Peropteryx macrotis,-999,Lesser Dog-like Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,macrotis,Peropteryx macrotis,-999,Lesser Dog-like Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yee, D.A., 2000"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,macrotis,Peropteryx macrotis,-999,Lesser Dog-like Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yee, D.A., 2000"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,macrotis,Peropteryx macrotis,-999,Lesser Dog-like Bat,NA,NA,NA,NA,NA,121.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yee, D.A., 2000"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,macrotis,Peropteryx macrotis,-999,Lesser Dog-like Bat,NA,NA,NA,NA,NA,136.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yee, D.A., 2000"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,macrotis,Peropteryx macrotis,-999,Lesser Dog-like Bat,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yee, D.A., 2000"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,macrotis,Peropteryx macrotis,-999,Lesser Dog-like Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yee, D.A., 2000"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,macrotis,Peropteryx macrotis,-999,Lesser Dog-like Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yee, D.A., 2000"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,macrotis,Peropteryx macrotis,-999,Lesser Dog-like Bat,NA,NA,NA,NA,19.38333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Weigl, R., 2005"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,macrotis,Peropteryx macrotis,-999,Lesser Dog-like Bat,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Savage et al., 2004"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,macrotis,Peropteryx macrotis,-999,Lesser Dog-like Bat,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Savage et al., 2004"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,trinitatis,Peropteryx trinitatis,-999,Trinidad Dog-like Bat,NA,0.99,NA,5.68,NA,129.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,trinitatis,Peropteryx trinitatis,-999,Trinidad Dog-like Bat,NA,NA,NA,4.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,trinitatis,Peropteryx trinitatis,-999,Trinidad Dog-like Bat,NA,1,NA,474.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,trinitatis,Peropteryx trinitatis,-999,Trinidad Dog-like Bat,NA,NA,NA,456.3,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"de Magalhaes and Costa, 2009"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,trinitatis,Peropteryx trinitatis,-999,Trinidad Dog-like Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Emballonuridae,Peropteryx,trinitatis,Peropteryx trinitatis,-999,Trinidad Dog-like Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yee, D.A., 2000"
