Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,taxon_name,Terrestrial,Marine,Freshwater,Aerial,Life.Habit.Method,Life.Habit.Source,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Island.Endemicity,IUCN.Status.1.2,Added.IUCN.Status.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source
Acerodon_celebensis,Chiroptera,Pteropodidae,Acerodon,celebensis,Acerodon celebensis,0,0,0,1,Taxonomic,PHYLACINE 1.2,390,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs only on isolated islands,VU,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Acerodon_humilis,Chiroptera,Pteropodidae,Acerodon,humilis,Acerodon humilis,0,0,0,1,Taxonomic,PHYLACINE 1.2,599.6,Assumed isometric based on forearm length,Flannery TM. Mammals of the South West Pacific & Moluccan Islands (1994),Acerodon_celebensis,Flannery TM. Mammals of the South West Pacific & Moluccan Islands (1994),Occurs only on isolated islands,EN,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Acerodon_jubatus,Chiroptera,Pteropodidae,Acerodon,jubatus,Acerodon jubatus,0,0,0,1,Taxonomic,PHYLACINE 1.2,1075,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs only on isolated islands,EN,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Acerodon_leucotis,Chiroptera,Pteropodidae,Acerodon,leucotis,Acerodon leucotis,0,0,0,1,Taxonomic,PHYLACINE 1.2,513.2,Assumed isometric based on forearm length,Fieldiana Zoology 69: 1-44 (1992),Acerodon_jubatus,Fieldiana Zoology 69: 1-44 (1992),Occurs only on isolated islands,VU,No,100,0,0,Imputed 000 Species,PHYLACINE 1.2
Acerodon_mackloti,Chiroptera,Pteropodidae,Acerodon,mackloti,Acerodon mackloti,0,0,0,1,Taxonomic,PHYLACINE 1.2,470.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs only on isolated islands,VU,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Aethalops_aequalis,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,0,0,0,1,Taxonomic,PHYLACINE 1.2,11.6,Assumed isometric based on forearm length,Mammalia 57: 255-272 (1993),Aethalops_alecto,Mammalia 57:255-272 (1993),Occurs on large land bridge islands,LC,No,100,0,0,Transformed 000 Genus,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Aethalops_alecto,Chiroptera,Pteropodidae,Aethalops,alecto,Aethalops alecto,0,0,0,1,Taxonomic,PHYLACINE 1.2,15,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Alionycteris_paucidentata,Chiroptera,Pteropodidae,Alionycteris,paucidentata,Alionycteris paucidentata,0,0,0,1,Taxonomic,PHYLACINE 1.2,16.2,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs only on isolated islands,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Ametrida_centurio,Chiroptera,Phyllostomidae,Ametrida,centurio,Ametrida centurio,0,0,0,1,Taxonomic,PHYLACINE 1.2,10.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Amorphochilus_schnablii,Chiroptera,Furipteridae,Amorphochilus,schnablii,Amorphochilus schnablii,0,0,0,1,Taxonomic,PHYLACINE 1.2,3.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,VU,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Anoura_caudifer,Chiroptera,Phyllostomidae,Anoura,caudifer,Anoura caudifer,0,0,0,1,Taxonomic,PHYLACINE 1.2,10.1,Reported,"Eisenberg JF, Redford KH Mammals of the Neotropics (Volume 3 ): The Central Neotropics: Ecuador, Peru, Bolivia, Brazil (2000)",NA,NA,Occurs on mainland,LC,No,70,0,30,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Anoura_cultrata,Chiroptera,Phyllostomidae,Anoura,cultrata,Anoura cultrata,0,0,0,1,Taxonomic,PHYLACINE 1.2,16.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,70,0,30,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Anoura_fistulata,Chiroptera,Phyllostomidae,Anoura,fistulata,Anoura fistulata,0,0,0,1,Taxonomic,PHYLACINE 1.2,13,Reported,Occasional Papers of the Museum of Texas Tech University 276: 2-10 (2008),NA,NA,Occurs on mainland,DD,No,90,0,10,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Anoura_geoffroyi,Chiroptera,Phyllostomidae,Anoura,geoffroyi,Anoura geoffroyi,0,0,0,1,Taxonomic,PHYLACINE 1.2,14.6,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,70,0,30,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Anoura_latidens,Chiroptera,Phyllostomidae,Anoura,latidens,Anoura latidens,0,0,0,1,Taxonomic,PHYLACINE 1.2,14.7,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,70,0,30,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Anoura_luismanueli,Chiroptera,Phyllostomidae,Anoura,luismanueli,Anoura luismanueli,0,0,0,1,Taxonomic,PHYLACINE 1.2,8.5,Reported,Tropical Zoology 7: 73-86 (1994),NA,NA,Occurs on mainland,LC,No,80,0,20,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Anthops_ornatus,Chiroptera,Hipposideridae,Anthops,ornatus,Anthops ornatus,0,0,0,1,Taxonomic,PHYLACINE 1.2,8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs only on isolated islands,DD,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Antrozous_pallidus,Chiroptera,Vespertilionidae,Antrozous,pallidus,Antrozous pallidus,0,0,0,1,Taxonomic,PHYLACINE 1.2,20.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,20,80,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Aproteles_bulmerae,Chiroptera,Pteropodidae,Aproteles,bulmerae,Aproteles bulmerae,0,0,0,1,Taxonomic,PHYLACINE 1.2,600,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on large land bridge islands,CR,No,100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Ardops_nichollsi,Chiroptera,Phyllostomidae,Ardops,nichollsi,Ardops nichollsi,0,0,0,1,Taxonomic,PHYLACINE 1.2,17.2,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs only on isolated islands,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Arielulus_aureocollaris,Chiroptera,Vespertilionidae,Arielulus,aureocollaris,Arielulus aureocollaris,0,0,0,1,Taxonomic,PHYLACINE 1.2,14.5,Reported,Francis CM. A Guide to the Mammals of Southeast Asia (2008),NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Arielulus_circumdatus,Chiroptera,Vespertilionidae,Arielulus,circumdatus,Arielulus circumdatus,0,0,0,1,Taxonomic,PHYLACINE 1.2,10.4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Arielulus_cuprosus,Chiroptera,Vespertilionidae,Arielulus,cuprosus,Arielulus cuprosus,0,0,0,1,Taxonomic,PHYLACINE 1.2,5.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on large land bridge islands,VU,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Arielulus_societatis,Chiroptera,Vespertilionidae,Arielulus,societatis,Arielulus societatis,0,0,0,1,Taxonomic,PHYLACINE 1.2,4.9,Reported,Francis CM. A Guide to the Mammals of Southeast Asia (2008),NA,NA,Occurs on mainland,VU,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Arielulus_torquatus,Chiroptera,Vespertilionidae,Arielulus,torquatus,Arielulus torquatus,0,0,0,1,Taxonomic,PHYLACINE 1.2,6.3,Assumed isometric based on forearm length,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",Arielulus_cuprosus,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",Occurs on large land bridge islands,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Ariteus_flavescens,Chiroptera,Phyllostomidae,Ariteus,flavescens,Ariteus flavescens,0,0,0,1,Taxonomic,PHYLACINE 1.2,11.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs only on isolated islands,LC,No,60,0,40,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Artibeus_amplus,Chiroptera,Phyllostomidae,Artibeus,amplus,Artibeus amplus,0,0,0,1,Taxonomic,PHYLACINE 1.2,60,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Artibeus_anthonyi,Chiroptera,Phyllostomidae,Artibeus,anthonyi,Artibeus anthonyi,0,0,0,1,Taxonomic,PHYLACINE 1.2,55.2,Assumed isometric based on skull size,Journal of Mammalogy 90: 1487-1494 (2009),Artibeus_jamaicensis,Journal of Mammalogy 90: 1487-1494 (2009),Occurs only on isolated islands,EP,Yes,89,0,11,Imputed 000 Species,PHYLACINE 1.2
Artibeus_concolor,Chiroptera,Phyllostomidae,Artibeus,concolor,Artibeus concolor,0,0,0,1,Taxonomic,PHYLACINE 1.2,19.4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Artibeus_fimbriatus,Chiroptera,Phyllostomidae,Artibeus,fimbriatus,Artibeus fimbriatus,0,0,0,1,Taxonomic,PHYLACINE 1.2,63.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Artibeus_fraterculus,Chiroptera,Phyllostomidae,Artibeus,fraterculus,Artibeus fraterculus,0,0,0,1,Taxonomic,PHYLACINE 1.2,39.5,Reported,"Eisenberg JF, Redford KH Mammals of the Neotropics (Volume 3 ): The Central Neotropics: Ecuador, Peru, Bolivia, Brazil (2000)",NA,NA,Occurs on mainland,LC,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Artibeus_hirsutus,Chiroptera,Phyllostomidae,Artibeus,hirsutus,Artibeus hirsutus,0,0,0,1,Taxonomic,PHYLACINE 1.2,38.7,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Artibeus_inopinatus,Chiroptera,Phyllostomidae,Artibeus,inopinatus,Artibeus inopinatus,0,0,0,1,Taxonomic,PHYLACINE 1.2,29.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,DD,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Artibeus_jamaicensis,Chiroptera,Phyllostomidae,Artibeus,jamaicensis,Artibeus jamaicensis,0,0,0,1,Taxonomic,PHYLACINE 1.2,42.2,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Artibeus_lituratus,Chiroptera,Phyllostomidae,Artibeus,lituratus,Artibeus lituratus,0,0,0,1,Taxonomic,PHYLACINE 1.2,60.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Artibeus_obscurus,Chiroptera,Phyllostomidae,Artibeus,obscurus,Artibeus obscurus,0,0,0,1,Taxonomic,PHYLACINE 1.2,35.2,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Artibeus_planirostris,Chiroptera,Phyllostomidae,Artibeus,planirostris,Artibeus planirostris,0,0,0,1,Taxonomic,PHYLACINE 1.2,47,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,80,0,20,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Artibeus_schwartzi,Chiroptera,Phyllostomidae,Artibeus,schwartzi,Artibeus schwartzi,0,0,0,1,Taxonomic,PHYLACINE 1.2,43,Imputed,PHYLACINE 1.2,NA,NA,Occurs on large land bridge islands,DD,No,90,0,10,Imputed 000 Species,PHYLACINE 1.2
Asellia_patrizii,Chiroptera,Hipposideridae,Asellia,patrizii,Asellia patrizii,0,0,0,1,Taxonomic,PHYLACINE 1.2,6,Assumed isometric based on forearm length,Acta Chiropterologica 13: 245-270 (2011),Asellia_tridens,Acta Chiropterologica 13: 245-270 (2011),Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Asellia_tridens,Chiroptera,Hipposideridae,Asellia,tridens,Asellia tridens,0,0,0,1,Taxonomic,PHYLACINE 1.2,11.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Aselliscus_stoliczkanus,Chiroptera,Hipposideridae,Aselliscus,stoliczkanus,Aselliscus stoliczkanus,0,0,0,1,Taxonomic,PHYLACINE 1.2,4.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Aselliscus_tricuspidatus,Chiroptera,Hipposideridae,Aselliscus,tricuspidatus,Aselliscus tricuspidatus,0,0,0,1,Taxonomic,PHYLACINE 1.2,4.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on large land bridge islands,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Austronomus_australis,Chiroptera,Molossidae,Austronomus,australis,Austronomus australis,0,0,0,1,Taxonomic,PHYLACINE 1.2,31.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Austronomus_kuboriensis,Chiroptera,Molossidae,Austronomus,kuboriensis,Austronomus kuboriensis,0,0,0,1,Taxonomic,PHYLACINE 1.2,25.9,Reported,Flannery TM. Mammals of New Guinea (1995),NA,NA,Occurs on large land bridge islands,LC,No,0,0,100,Transformed 000 Species,"Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8."
Balantiopteryx_infusca,Chiroptera,Emballonuridae,Balantiopteryx,infusca,Balantiopteryx infusca,0,0,0,1,Taxonomic,PHYLACINE 1.2,4.4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,VU,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Balantiopteryx_io,Chiroptera,Emballonuridae,Balantiopteryx,io,Balantiopteryx io,0,0,0,1,Taxonomic,PHYLACINE 1.2,4.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,VU,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Balantiopteryx_plicata,Chiroptera,Emballonuridae,Balantiopteryx,plicata,Balantiopteryx plicata,0,0,0,1,Taxonomic,PHYLACINE 1.2,6.4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Balionycteris_maculata,Chiroptera,Pteropodidae,Balionycteris,maculata,Balionycteris maculata,0,0,0,1,Taxonomic,PHYLACINE 1.2,13.4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Imputed 000 Species,PHYLACINE 1.2
Barbastella_barbastellus,Chiroptera,Vespertilionidae,Barbastella,barbastellus,Barbastella barbastellus,0,0,0,1,Taxonomic,PHYLACINE 1.2,8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,NT,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Barbastella_leucomelas,Chiroptera,Vespertilionidae,Barbastella,leucomelas,Barbastella leucomelas,0,0,0,1,Taxonomic,PHYLACINE 1.2,15.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Bauerus_dubiaquercus,Chiroptera,Vespertilionidae,Bauerus,dubiaquercus,Bauerus dubiaquercus,0,0,0,1,Taxonomic,PHYLACINE 1.2,22.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,NT,No,0,20,80,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Brachyphylla_cavernarum,Chiroptera,Phyllostomidae,Brachyphylla,cavernarum,Brachyphylla cavernarum,0,0,0,1,Taxonomic,PHYLACINE 1.2,46.2,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs only on isolated islands,LC,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Brachyphylla_nana,Chiroptera,Phyllostomidae,Brachyphylla,nana,Brachyphylla nana,0,0,0,1,Taxonomic,PHYLACINE 1.2,35.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs only on isolated islands,LC,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Cardioderma_cor,Chiroptera,Megadermatidae,Cardioderma,cor,Cardioderma cor,0,0,0,1,Taxonomic,PHYLACINE 1.2,27.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Carollia_brevicauda,Chiroptera,Phyllostomidae,Carollia,brevicauda,Carollia brevicauda,0,0,0,1,Taxonomic,PHYLACINE 1.2,14.4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Carollia_castanea,Chiroptera,Phyllostomidae,Carollia,castanea,Carollia castanea,0,0,0,1,Taxonomic,PHYLACINE 1.2,13.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Carollia_manu,Chiroptera,Phyllostomidae,Carollia,manu,Carollia manu,0,0,0,1,Taxonomic,PHYLACINE 1.2,18.7,Reported,Occasional Papers of the Museum of Texas Tech University 232: 1-16 (2003),NA,NA,Occurs on mainland,LC,No,100,0,0,Transformed 000 Genus,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Carollia_perspicillata,Chiroptera,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,0,0,0,1,Taxonomic,PHYLACINE 1.2,18,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
