Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,taxon_name,Terrestrial,Marine,Freshwater,Aerial,Life.Habit.Method,Life.Habit.Source,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Island.Endemicity,IUCN.Status.1.2,Added.IUCN.Status.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source
Rhogeessa_gracilis,Chiroptera,Vespertilionidae,Rhogeessa,gracilis,Rhogeessa gracilis,0,0,0,1,Taxonomic,PHYLACINE 1.2,6.1,Assumed isometric based on forearm length,Mammalian Species 76: 1-2 (1977),Rhogeessa_io,Reid FA. A field guide to the Mammals of Central America and South East Mexico (2009),Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Rhogeessa_hussoni,Chiroptera,Vespertilionidae,Rhogeessa,hussoni,Rhogeessa hussoni,0,0,0,1,Taxonomic,PHYLACINE 1.2,5.8,Assumed isometric based on skull size,"Genoways HH., Baker RJ eds A memorial volume in honor of J. Knox Jones, Jr (1996)",Rhogeessa_io,"Genoways HH., Baker RJ eds A memorial volume in honor of J. Knox Jones, Jr (1996)",Occurs on mainland,DD,No,0,0,100,Imputed 000 Species,PHYLACINE 1.2
Rhogeessa_io,Chiroptera,Vespertilionidae,Rhogeessa,io,Rhogeessa io,0,0,0,1,Taxonomic,PHYLACINE 1.2,5,Reported,Reid FA. A field guide to the Mammals of Central America and South East Mexico (2009),NA,NA,Occurs on mainland,LC,No,0,0,100,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Rhogeessa_minutilla,Chiroptera,Vespertilionidae,Rhogeessa,minutilla,Rhogeessa minutilla,0,0,0,1,Taxonomic,PHYLACINE 1.2,3.7,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,VU,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Rhogeessa_mira,Chiroptera,Vespertilionidae,Rhogeessa,mira,Rhogeessa mira,0,0,0,1,Taxonomic,PHYLACINE 1.2,3.1,Assumed isometric based on forearm length,Mammalian Species 550: 1-2 (1997),Rhogeessa_tumida,Mammalian Species 633: 1-3 (2000),Occurs on mainland,VU,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Rhogeessa_parvula,Chiroptera,Vespertilionidae,Rhogeessa,parvula,Rhogeessa parvula,0,0,0,1,Taxonomic,PHYLACINE 1.2,4.4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Rhogeessa_tumida,Chiroptera,Vespertilionidae,Rhogeessa,tumida,Rhogeessa tumida,0,0,0,1,Taxonomic,PHYLACINE 1.2,4.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Rhynchonycteris_naso,Chiroptera,Emballonuridae,Rhynchonycteris,naso,Rhynchonycteris naso,0,0,0,1,Taxonomic,PHYLACINE 1.2,3.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Rousettus_aegyptiacus,Chiroptera,Pteropodidae,Rousettus,aegyptiacus,Rousettus aegyptiacus,0,0,0,1,Taxonomic,PHYLACINE 1.2,132.2,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Rousettus_amplexicaudatus,Chiroptera,Pteropodidae,Rousettus,amplexicaudatus,Rousettus amplexicaudatus,0,0,0,1,Taxonomic,PHYLACINE 1.2,82.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
