Code,Class,Order,Suborder,Family,Subfamily,Genus,Species,SpeciesEpithet,HR_mean,Dispersal_Dist_mean,HeadBody_Length_mean,Tail_Length_mean,Forearm_Length_mean,Hindfoot_Length_mean,Length_tot_mean,Wing_Length_mean,Wing_Area_mean,Wingspan_mean,W_aspect_ratio_mean,W_loading_mean,BodyMass_mean,SexMaturity_Age_mean,HR_min,HeadBody_Length_min,Tail_Length_min,Forearm_Length_min,Hindfoot_Length_min,Length_tot_min,Wing_Length_min,Wing_Area_min,Wingspan_min,W_aspect_ratio_min,W_loading_min,BodyMass_min,SexMaturity_Age_min,HR_max,Dispersal_Dist_max,HeadBody_Length_max,Tail_Length_max,Forearm_Length_max,Hindfoot_Length_max,Length_tot_max,Wing_Length_max,Wing_Area_max,Wingspan_max,W_aspect_ratio_max,W_loading_max,BodyMass_max,SexMaturity_Age_max,sex
YIN010107002,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Myonycteris,brachycephala,Myonycteris brachycephala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010107003,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Myonycteris,leptodon,Myonycteris leptodon,NA,NA,104,5.5,61,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,88,0,57,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,120,11,65,NA,NA,NA,NA,NA,NA,NA,49,NA,male
YIN010107004,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Myonycteris,relicta,Myonycteris relicta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010108001,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Plerotes,anchietae,Plerotes anchietae,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010109001,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Hypsignathus,monstrosus,Hypsignathus monstrosus,NA,NA,228.5,0,129.5,39.5,NA,NA,NA,NA,NA,NA,355,540,NA,160,0,120,39,NA,NA,NA,NA,NA,NA,291,NA,NA,NA,297,0,139,40,NA,NA,NA,NA,NA,NA,419,NA,male
YIN010110001,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Epomops,franqueti,Epomops franqueti,NA,NA,137.5,NA,92.5,26,NA,NA,NA,NA,NA,NA,132,NA,NA,110,NA,84,24,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,165,NA,101,28,NA,NA,NA,NA,NA,NA,172,NA,male
YIN010110002,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Epomops,buettikoferi,Epomops buettikoferi,NA,NA,168.5,0,95.5,NA,NA,NA,NA,NA,NA,NA,187.5,450,NA,142,0,89,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,NA,195,0,102,NA,NA,NA,NA,NA,NA,NA,215,NA,male
YIN010111001,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Nanonycteris,veldkampii,Nanonycteris veldkampii,NA,NA,74.5,NA,49,14,NA,NA,NA,NA,NA,NA,21.5,NA,NA,69,NA,46,12,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,80,NA,52,16,NA,NA,NA,NA,NA,NA,27,NA,male
YIN010112001,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Epomophorus,gambianus,Epomophorus gambianus,NA,NA,139,3,90,NA,NA,NA,NA,NA,NA,NA,125.5,NA,NA,108,0,80,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,170,6,100,NA,NA,NA,NA,NA,NA,NA,155,NA,male
YIN010112002,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Epomophorus,crypturus,Epomophorus crypturus,NA,NA,150,NA,84,21,NA,NA,NA,571,NA,NA,115.5,NA,NA,130,NA,80,16,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,170,NA,88,26,NA,NA,NA,NA,NA,NA,140,NA,male
YIN010112003,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Epomophorus,angolensis,Epomophorus angolensis,NA,NA,158,0,89.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010112004,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Epomophorus,labiatus,Epomophorus labiatus,NA,NA,109,NA,73,NA,NA,NA,NA,438,NA,NA,56,NA,NA,105,NA,66,NA,NA,NA,NA,425,NA,NA,48,NA,NA,NA,113,NA,80,NA,NA,NA,NA,455,NA,NA,64,NA,male
YIN010112005,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Epomophorus,minor,Epomophorus minor,NA,NA,NA,0,60.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010112006,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Epomophorus,anselli,Epomophorus anselli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010112007,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Epomophorus,wahlbergi,Epomophorus wahlbergi,0.5,NA,144.5,2,83.5,NA,NA,NA,NA,NA,NA,NA,103,730,NA,106,0,72,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,183,4,95,NA,NA,NA,NA,NA,NA,NA,138,NA,male
YIN010112008,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Epomophorus,dobsonii,Epomophorus dobsonii,NA,NA,161.5,NA,88,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,138,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010112009,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Epomophorus,grandis,Epomophorus grandis,NA,NA,99,4,62.5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010112010,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Epomophorus,pusillus,Epomophorus pusillus,NA,NA,85,NA,50.5,NA,NA,NA,NA,NA,NA,NA,NA,270,NA,67,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010112011,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettinae,Epomophorus,intermedius,Epomophorus intermedius,NA,NA,NA,3,58,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010201001,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Eidolinae,Eidolon,helvum,Eidolon helvum,NA,NA,NA,NA,NA,NA,NA,NA,739.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010201002,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Eidolinae,Eidolon,dupreanum,Eidolon dupreanum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010301001,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Pteropodinae,Pteropus,livingstonii,Pteropus livingstonii,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,576.3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010301002,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Pteropodinae,Pteropus,voeltzkowi,Pteropus voeltzkowi,NA,NA,247,0,156,NA,NA,NA,NA,497.5,NA,NA,540,NA,NA,240,0,147,NA,NA,NA,NA,NA,NA,NA,470,NA,NA,NA,260,0,163,NA,NA,NA,NA,NA,NA,NA,610,NA,male
YIN010301003,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Pteropodinae,Pteropus,rodricensis,Pteropus rodricensis,NA,NA,NA,0,123.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,121.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,125.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010301004,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Pteropodinae,Pteropus,aldabrensis,Pteropus aldabrensis,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010301005,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Pteropodinae,Pteropus,rufus,Pteropus rufus,NA,NA,252,0,162.5,57,NA,NA,NA,NA,NA,NA,700,NA,NA,234,0,154,52,NA,NA,NA,NA,NA,NA,650,NA,NA,NA,270,0,171,62,NA,NA,NA,NA,NA,NA,750,NA,male
YIN010301006,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Pteropodinae,Pteropus,seychellensis,Pteropus seychellensis,NA,NA,NA,0,152.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN010301007,Mammalia,Chiroptera,Yinpterochiroptera,Pteropodidae,Pteropodinae,Pteropus,niger,Pteropus niger,NA,NA,NA,0,165,NA,NA,NA,NA,NA,NA,NA,460,NA,NA,NA,0,159,NA,NA,NA,NA,NA,NA,NA,380,NA,NA,NA,NA,0,171,NA,NA,NA,NA,NA,NA,NA,540,NA,male
YIN020001001,Mammalia,Chiroptera,Yinpterochiroptera,Rhinopomatidae,NA,Rhinopoma,microphyllum,Rhinopoma microphyllum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN020001002,Mammalia,Chiroptera,Yinpterochiroptera,Rhinopomatidae,NA,Rhinopoma,cystops,Rhinopoma cystops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN020001003,Mammalia,Chiroptera,Yinpterochiroptera,Rhinopomatidae,NA,Rhinopoma,macinnesi,Rhinopoma macinnesi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN030001001,Mammalia,Chiroptera,Yinpterochiroptera,Megadermatidae,NA,Lavia,frons,Lavia frons,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN030002001,Mammalia,Chiroptera,Yinpterochiroptera,Megadermatidae,NA,Cardioderma,cor,Cardioderma cor,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN040001001,Mammalia,Chiroptera,Yinpterochiroptera,Rhinonycteridae,NA,Triaenops,afer,Triaenops afer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
