Code,Class,Order,Suborder,Family,Subfamily,Genus,Species,SpeciesEpithet,HR_mean,Dispersal_Dist_mean,HeadBody_Length_mean,Tail_Length_mean,Forearm_Length_mean,Hindfoot_Length_mean,Length_tot_mean,Wing_Length_mean,Wing_Area_mean,Wingspan_mean,W_aspect_ratio_mean,W_loading_mean,BodyMass_mean,SexMaturity_Age_mean,HR_min,HeadBody_Length_min,Tail_Length_min,Forearm_Length_min,Hindfoot_Length_min,Length_tot_min,Wing_Length_min,Wing_Area_min,Wingspan_min,W_aspect_ratio_min,W_loading_min,BodyMass_min,SexMaturity_Age_min,HR_max,Dispersal_Dist_max,HeadBody_Length_max,Tail_Length_max,Forearm_Length_max,Hindfoot_Length_max,Length_tot_max,Wing_Length_max,Wing_Area_max,Wingspan_max,W_aspect_ratio_max,W_loading_max,BodyMass_max,SexMaturity_Age_max,sex
YAN060001001,Mammalia,Chiroptera,Yangochiroptera,Cistugidae,NA,Cistugo,seabrae,Cistugo seabrae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN060001002,Mammalia,Chiroptera,Yangochiroptera,Cistugidae,NA,Cistugo,lesueuri,Cistugo lesueuri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070101001,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Scotoecus,hirundo,Scotoecus hirundo,NA,NA,NA,NA,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070101002,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Scotoecus,albofuscus,Scotoecus albofuscus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070102001,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Vansonia,rueppellii,Vansonia rueppellii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070103001,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Nyctalus,lasiopterus,Nyctalus lasiopterus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070103002,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Nyctalus,leisleri,Nyctalus leisleri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070104001,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Pipistrellus,pipistrellus,Pipistrellus pipistrellus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070104002,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Pipistrellus,hanaki,Pipistrellus hanaki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070104003,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Pipistrellus,kuhlii,Pipistrellus kuhlii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,male
YAN070104004,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Pipistrellus,hesperidus,Pipistrellus hesperidus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070104005,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Pipistrellus,simandouensis,Pipistrellus simandouensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070104006,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Pipistrellus,rusticus,Pipistrellus rusticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070104007,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Pipistrellus,nanulus,Pipistrellus nanulus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070104008,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Pipistrellus,inexspectatus,Pipistrellus inexspectatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070104009,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Pipistrellus,aero,Pipistrellus aero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070104010,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Pipistrellus,permixtus,Pipistrellus permixtus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070104011,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Pipistrellus,raceyi,Pipistrellus raceyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070105001,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Hypsugo,ariel,Hypsugo ariel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070105002,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Hypsugo,savii,Hypsugo savii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070105003,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Hypsugo,musciculus,Hypsugo musciculus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070106001,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Nycticeinops,crassulus,Nycticeinops crassulus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070106002,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Nycticeinops,eisentrauti,Nycticeinops eisentrauti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070106003,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Nycticeinops,schlieffenii,Nycticeinops schlieffenii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070106004,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Nycticeinops,grandidieri,Nycticeinops grandidieri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070107001,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Mimetillus,moloneyi,Mimetillus moloneyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070108001,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Neoromicia,anchietae,Neoromicia anchietae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070108002,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Neoromicia,bemainty,Neoromicia bemainty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070108003,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Neoromicia,zuluensis,Neoromicia zuluensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070108004,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Neoromicia,guineensis,Neoromicia guineensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070108005,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Neoromicia,somalica,Neoromicia somalica,NA,NA,NA,NA,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070109001,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Afronycteris,nanus,Afronycteris nanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070109002,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Afronycteris,helios,Afronycteris helios,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070110001,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Pseudoromicia,rendalli,Pseudoromicia rendalli,NA,NA,52.5,33.5,32.5,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,40,30,29,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,65,37,36,NA,NA,NA,NA,NA,NA,NA,9,NA,male
YAN070110002,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Pseudoromicia,brunnea,Pseudoromicia brunnea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070110003,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Pseudoromicia,roseveari,Pseudoromicia roseveari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070110004,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Pseudoromicia,kityoi,Pseudoromicia kityoi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070110005,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Pseudoromicia,nyanza,Pseudoromicia nyanza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070110006,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Pseudoromicia,isabella,Pseudoromicia isabella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070110007,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Pseudoromicia,tenuipinnis,Pseudoromicia tenuipinnis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070111001,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Laephotis,capensis,Laephotis capensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070111002,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Laephotis,kirinyaga,Laephotis kirinyaga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070111003,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Laephotis,matroka,Laephotis matroka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070111004,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Laephotis,malagasyensis,Laephotis malagasyensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070111005,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Laephotis,robertsi,Laephotis robertsi,NA,NA,NA,NA,34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070111006,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Laephotis,stanleyi,Laephotis stanleyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070111007,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Laephotis,wintoni,Laephotis wintoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070111008,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Laephotis,angolensis,Laephotis angolensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070111009,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Laephotis,botswanae,Laephotis botswanae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070111010,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Laephotis,namibensis,Laephotis namibensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070112001,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Glauconycteris,variegata,Glauconycteris variegata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070112002,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Glauconycteris,machadoi,Glauconycteris machadoi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070112003,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Glauconycteris,gleni,Glauconycteris gleni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070112004,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Glauconycteris,superba,Glauconycteris superba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070112005,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Glauconycteris,argentata,Glauconycteris argentata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070112006,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Glauconycteris,egeria,Glauconycteris egeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070112007,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Glauconycteris,poensis,Glauconycteris poensis,NA,NA,NA,NA,37.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070112008,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Glauconycteris,alboguttata,Glauconycteris alboguttata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070112009,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Glauconycteris,beatrix,Glauconycteris beatrix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070112010,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Glauconycteris,curryae,Glauconycteris curryae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070112011,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Glauconycteris,humeralis,Glauconycteris humeralis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070112012,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Glauconycteris,atra,Glauconycteris atra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,male
YAN070112013,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Glauconycteris,kenyacola,Glauconycteris kenyacola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070113001,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Eptesicus,floweri,Eptesicus floweri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070113002,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Eptesicus,platyops,Eptesicus platyops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070113003,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Eptesicus,hottentotus,Eptesicus hottentotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070113004,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Eptesicus,bottae,Eptesicus bottae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070113005,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Eptesicus,isabellinus,Eptesicus isabellinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YAN070114001,Mammalia,Chiroptera,Yangochiroptera,Vespertilionidae,Vespertilioninae,Barbastella,barbastellus,Barbastella barbastellus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
